detalhe_incidente;tipo_incidente;detalhe_limpo
atividade projeto Scm Modulo PCP sprint projeto scm Modulo PCP sprint;Avaliação_Técnica;atividade projeto scm modulo pcp sprint projeto scm modulo pcp sprint
analise desenvolviento posto retrabalho verificar regra negocio atual ajustar passar produto ja embalar linha diferente linha lcd retrabalho posto retrabalho;Corretiva;analise desenvolviento retrabalho regra negocio atual ajustar passar produto embalar diferente lcd retrabalho retrabalho
analise restrição funcionalidade coleta numero serie serie fazer analise tela restringir acesso usuário pessoa cadastrar cbacesso checar forma paginar detalhamento passagem caso necessário fazer tratativa try catch pagina não expor excption não poder analise viabilidade haver colateral analise restrição funcionalidade coleta numero serie;Melhorias;analise restrição funcionalidade coleta numero serie serie fazer analise tela restringir pessoa cadastrar cbacesso checar forma paginar detalhamento passagem caso necessário fazer tratativa try catch pagina expor excption poder analise viabilidade colateral analise restrição funcionalidade coleta numero serie
durante visita técnico fábrica arcon ficar fonte carregamento computador precisar embalasse mesmo direcionar motorista aplicativo uber entregar homeoffice uber flash entregar carregador computador;Corretiva;durante visita técnico fábrica arcon ficar fonte carregamento computador precisar embalasse direcionar motorista aplicativo uber entregar homeoffice uber flash entregar carregador computador
acordo passado teams incluir coluna chamar documento material numero documento material obter tabela incluir doc material tela montapalet;Melhorias;acordo passado teams incluir coluna chamar documento material numero documento material obter tabela incluir doc material tela montapalet
realizar prototipagem tela sequenciamento projeto pcp após aceite usuário desenvolvimento funcionalidade crud front end tela sequenciamento;Avaliação_Técnica;realizar prototipagem tela sequenciamento projeto pcp após aceite desenvolvimento funcionalidade crud front end tela sequenciamento
mapeamento processo qualidade documentação área fluxograma processo qualidade;Melhorias;mapeamento processo qualidade documentação área fluxograma processo qualidade
automatizar parâmetro procedure painel virada data contingência colocar data tela parâmetro geral sisap alterar pedir senha restrito controle acesso ti pcp automatizar parâmetro procedure painel virada data contingênci;Melhorias;automatizar parâmetro procedure painel virada data contingência colocar data tela parâmetro geral alterar pedir senha restrito controle pcp automatizar parâmetro procedure painel virada data contingênci
permissão lider linha desbloqueio login sem tempo limite desbloquear permissão lider linha desbloqueio login;Melhorias;permissão lider desbloqueio login tempo limite desbloquear permissão lider desbloqueio login
atividade projeto Scm Modulo PCP sprint projeto scm Modulo PCP sprint;Avaliação_Técnica;atividade projeto scm modulo pcp sprint projeto scm modulo pcp sprint
decorrência grande número solicitação surgir longo ano atividade casamento manual ac mensalmente requer intervenção analista surgir necessidade automação processo acabar ter alocar pessoa realizar todo processo análise fim update execução procedure casamento solicitar desenvolvimento tela hora acesso restrito atingir nível alto maturidade assim deixar processo mão responsável área tela dever conter input aps steps passo passo listar conter mensagem validação cada etapa concluir internamente dever tambem validar programação realizar Backups antes executar update fim operação restaurar configuração tratativa automatizar casamento manual ac;Avaliação_Técnica;decorrência grande número surgir longo ano atividade casamento manual mensalmente requer intervenção analista surgir necessidade automação processo abar ter alocar pessoa realizar todo processo análise fim update execução procedure casamento solicitar desenvolvimento tela hora esso restrito atingir nível alto maturidade assim deixar processo mão responsável área tela dever conter input aps steps passo passo listar conter mensagem validação cada etapa concluir internamente dever tambem validar programação realizar bkups antes executar update fim operação restaurar configuração tratativa automatizar casamento manual
criar cenário teste t função criar ordem planejar parâmetro necessário tal atividader criar cenário teste função criar ordem planejar;Melhorias;criar cenário teste função criar ordem planejar parâmetro necessário tal atividader criar cenário teste função criar ordem planejar
criar cabeçalho relatório check ud wip conter quantidade painel ne ap quantidade envio sap enviar não enviar consultar tabela adicionar coluna quantidade body criar cabeçalho relatório check ud Wip;Melhorias;criar cabeçalho relatório check wip conter quantidade painel quantidade envio enviar enviar consultar tabela adicionar coluna quantidade body criar cabeçalho relatório check wip
realizar correção tela psi desagregação projeto PCP levar consideração seguinte fluxo validar cliente fluxo novo versão selecionar filtro fábrica tipo planejamento mês ano import planilha ação criar novo versão fluxo novo versão gerar novo versão partir selecionar filtro fábrica tipo planejamento versão mês ano botão consultar alteração necessário ação criar novo versão fluxo consultar selecionar filtro fábrica tipo planejamento versão mês ano botão consultar fluxo editar selecionar filtro fábrica tipo planejamento versão mês ano botão consultar alteração necessário ação editar versão atual fluxo excluir selecionar filtro fábrica tipo planejamento versão mês ano botão consultar ação excluir versão atual fluxo solicitar aprovação botão selecionável apenas tipo planejamento versão versão oficial selecionar filtro fábrica tipo planejamento versão aprovação versão mês ano ação solicitar aprovação correção tela psi desagregação projeto pcp;Avaliação_Técnica;realizar correção tela psi desagregação projeto pcp levar consideração seguinte fluxo validar cliente fluxo novo versão selecionar filtro fábrica tipo planejamento mês ano import planilha ação criar novo versão fluxo novo versão gerar novo versão partir selecionar filtro fábrica tipo planejamento versão mês ano botão consultar alteração necessário ação criar novo versão fluxo consultar selecionar filtro fábrica tipo planejamento versão mês ano botão consultar fluxo editar selecionar filtro fábrica tipo planejamento versão mês ano botão consultar alteração necessário ação editar versão atual fluxo excluir selecionar filtro fábrica tipo planejamento versão mês ano botão consultar ação excluir versão atual fluxo solicitar aprovação botão selecionável apenas tipo planejamento versão versão oficial selecionar filtro fábrica tipo planejamento versão aprovação versão mês ano ação solicitar aprovação correção tela psi desagregação projeto pcp
atividade projeto Scm Modulo PCP sprint projeto scm Modulo PCP sprint;Avaliação_Técnica;atividade projeto scm modulo pcp sprint projeto scm modulo pcp sprint
necessidadematerial contabilizar passar retrabalho correção relatório necessidadematerial;Melhorias;necessidadematerial contabilizar passar retrabalho correção relatório necessidadematerial
realizar integração processo pós desagregação tela sequenciamento ajuste tela sequenciamento projeto pcp;Avaliação_Técnica;realizar integração processo pós desagregação tela sequenciamento ajuste tela sequenciamento projeto pcp
reunião diario equipe reunião diario equipe;Avaliação_Técnica;reunião diario equipe reunião diario equipe
melhoria tela distribuição PP integrar processo pós aprovação sequenciamento melhoria tela distribuição PP projeto pcp;Avaliação_Técnica;melhoria tela distribuição integrar processo pós aprovação sequenciamento melhoria tela distribuição projeto pcp
tela gerenciamento usuário utilizar fazer prototipo inicial html apresentar equipe logo seguida desenvolver controller tela gerenciamento usuário;Corretiva;tela gerenciamento utilizar fazer prototipo inicial html apresentar equipe logo seguida desenvolver controller tela gerenciamento
solicitar implementação funcionalidade importar excel sistema pcp tela cadastro elaborar template importação fazer carga sistema cliente baixar preencher implementação importr excel cadastro po Pcp;Avaliação_Técnica;solicitar implementação funcionalidade importar excel pcp tela cadastro elaborar template importação fazer carga cliente baixar preencher implementação importr excel cadastro pcp
desenvolvimento implementação tela gerenciamento sisap tela gerenciamento acesso;Melhorias;desenvolvimento implementação tela gerenciamento tela gerenciamento
atividade projeto Scm Modulo PCP sprint projeto scm Modulo PCP sprint;Avaliação_Técnica;atividade projeto scm modulo pcp sprint projeto scm modulo pcp sprint
implementar automatização virada mês bi sisap não preciser mudar mês manualmente automatização virada mês bi;Melhorias;implementar automatização virada mês mudar mês manualmente automatização virada mês
resolução mudança tamanho caracter etiqueta sair programa precisar alterar várias classe gerar competibilidade temanho colaboração desenv;Melhorias;resolução mudança tamanho caracter etiqueta sair programa precisar alterar várias classe gerar competibilidade temanho colaboração desenv
sisap;Melhorias;
sem informação scrap bi produção analise bi scrap;Corretiva;informação scrap produção analise scrap
porque aplicação crescer ter outro funcionalidade não somente tela cadastro mudança nome dns;Corretiva;porque aplicação crescer ter outro funcionalidade somente tela cadastro mudança nome dns
criação pedido compra não vir anexo cotação requisição nem informação campo observação requisição melhoria criação po refernencia requisição;Melhorias;criação pedido compra vir anexo cotação requisição informação campo observação requisição melhoria criação refernencia requisição
estratégia liberação planto arcon pedido compra nº aparecer di diretoria industrial estratégia sandrini correto de b diretoria ind ac representar silvio riberio estrategia liberação;Erro;estratégia liberação planto arcon pedido compra aparecer diretoria industrial estratégia sandrini correto diretoria representar estrategia liberação
chamar abap pm gmt ver Ferraz problema acessar transação sistema sap erro instalação;Erro;chamar ver ferraz acessar transação erro instalação
referencia chamar original sem acesso transação sap instalação erro programa relatório;Corretiva;referencia chamar original transação instalação erro programa relatório
não conseguir extrair dado sisap planilha excel extração dado sisap excel;Erro;conseguir extrair planilha excel extração excel
gostar habilitar visualização coluna nro serie painel relatório técnico mf tanto versão online sisap quanto versão após download excel habilitar visualização nro serie painel;Adequação de layout;gostar habilitar visualização coluna nro serie painel relatório técnico tanto versão online quanto versão após download excel habilitar visualização nro serie painel
gostar puxar lista serial painel produto acabar lista serial painel;Avaliação_Técnica;gostar puxar lista serial painel produto acabar lista serial painel
gostar verificar serial painel desassociar lista enviar lista serial painel desassociar;Retorno;gostar serial painel desassociar lista enviar lista serial painel desassociar
integrar base dado plataforma jit onlinar dashboard iqc power bi visar obter dado entrada nota fiscal material calço tampa caixa definição plano inspeção iqc integração jig onlinar power bi;Avaliação_Técnica;integrar base plataforma jit onlinar dashboard iqc power visar obter entrada nota fiscal material calço tampa caixa definição plano inspeção iqc integração jig onlinar power
solicitar criação campo sisap seção relatório técnico referente fase painel incluir seguinte informação valor painel número série ne painel adicionalmente necessário corrigir coluna modelo relatório técnico fase painel painel registrar manualmente técnico qualidade solicitação ajustir relátorio técnico fase painel;Melhorias;solicitar criação campo seção relatório técnico referente fase painel incluir seguinte informação valor painel número série painel adicionalmente necessário corrigir coluna modelo relatório técnico fase painel painel registrar manualmente técnico qualidade ajustir relátorio técnico fase painel
inconsistência dado registro defeito painel relatório técnico fase mf relatório técnico fase painel relatório técnico fase mf apontar defeito acumular painel ano relatório técnico fase painel registrar apenas defeito acumular obs número defeito relatório fase painel dever grande pois incluir dado painel não registrar linha produção fase mf inconsistência registro defeito painel sisap;Corretiva;inconsistência registro defeito painel relatório técnico fase relatório técnico fase painel relatório técnico fase apontar defeito acumular painel ano relatório técnico fase painel registrar apenas defeito acumular obs número defeito relatório fase painel dever grande pois incluir painel registrar produção fase inconsistência registro defeito painel
gostar extrair sn painei desassociar produto lista anexo puxar sn painel desassociar;Retorno;gostar extrair desassociar produto lista anexo puxar painel desassociar
solicitar base dado coleta etiqueta qr coder atualizar dia solicitação base dado atualiazar Shelf life;Retorno;solicitar base coleta etiqueta coder atualizar base atualiazar shelf life
solicitar acesso base dado sistema dc autenticador referente período fim análise verificação informação registrar em esse intervalo solicitação acesso base dado dc autenticador;Retorno;solicitar base autenticador referente período fim análise verificação informação registrar intervalo base autenticador
descrição problema solicitar acesso base dado sistema dc autenticador referente período fim análise verificação informação registrar em esse intervalo solicitação acesso base dado dc autenticador;Retorno;descrição solicitar base autenticador referente período fim análise verificação informação registrar intervalo base autenticador
descrição problema descrição problema solicitar acesso base dado sistema dc autenticador referente período fim análise verificação informação registrar em esse intervalo solicitação acesso base dado dc autenticar;Retorno;descrição descrição solicitar base autenticador referente período fim análise verificação informação registrar intervalo base autenticar
solicitar acesso base dado sistema dc autenticador referente período fim análise verificação informação registrar em esse intervalo solicitação acesso base dado dc autenticar;Retorno;solicitar base autenticador referente período fim análise verificação informação registrar intervalo base autenticar
descrição problema solicitar acesso base dado sistema dc autenticador referente período fim análise verificação informação registrar em esse intervalo solicitação acesso base dado dc autenticar;Retorno;descrição solicitar base autenticador referente período fim análise verificação informação registrar intervalo base autenticar
registrar solicitação realizar via chat limpeza defeito serial limpeza defeito número série tv;Corretiva;registrar realizar via chat limpeza defeito serial limpeza defeito número série
analise ne não imprimir pq não cadastro detalhamento item analise ne;Melhorias;imprimir cadastro detalhamento item
organizar cabo rede organização cabo rede;Corretiva;organizar cabo rede organização cabo rede
solicitação acesso dat pasta acesso pasta;Nova instalação;dat pasta pasta
bom dia usuário paulomlr solicito acesso sistema portaria favor acesso portaria;Melhorias;paulomlr portaria portaria
bom dia solicitação acesso sistema portaria usuário Gelisonjs copiar permissão colaborador luizsr acesso portaria;Melhorias;portaria gelisonjs copiar permissão colaborador luizsr portaria
bom dia usuário matheuscf solicitar acesso sistema portaria favor acesso;Corretiva;matheuscf solicitar portaria
bom dia gentileza trocar nome ramal rodrigo seixa brenda Souza alteração nome ramal;Corretiva;trocar nome ramal souza alteração nome ramal
bom dia favor alterar nome ramal recepção adm nilzione portela alteração nome ramal;Corretiva;alterar nome ramal recepção adm nilzione portela alteração nome ramal
solicitar instalação sistema rh instalação sistema re h;Nova instalação;solicitar instalação instalação
bom tarde gostar apoio verificar colaborador cadastrar sami não importar benner colaborador não importar sami benner;Erro;gostar apoio colaborador cadastrar sami importar benner colaborador importar sami benner
solicitar apoio verificação informação sami não ser enviar benner anexo estar em esse chamado mostrar exemplo problema colaboradora férias porém benner constar falta informação sami benner;Avaliação_Técnica;solicitar apoio verificação informação sami enviar benner anexo chamado mostrar exemplo colaboradora férias porém benner constar falta informação sami benner
bom dia informar colaborador anexo em este chamado não aparecer ponto benner desde admissão informo ainda rizomar ericka Gabriela não possuir ctps físico não numeração colocar sami folha pois ctps digital colaborador não aparecer ponto;Erro;informar colaborador anexo chamado aparecer ponto benner desde admissão informo ainda rizomar ericka possuir ctps físico numeração colocar sami folha pois ctps digital colaborador aparecer ponto
bom tarde amando conforme formalizar gostar apoio colaborador Wellinton Costa Serra arcon juliano freita thiago castelo tv não aparecer ponto informo apenas thiago castelo passar aprendiz estagiário demais novato colaborador não aparecer ponto;Erro;amando conforme formalizar gostar apoio colaborador aparecer ponto informo apenas passar aprendiz estagiário demais novato colaborador aparecer ponto
amando bom dia gostar apoio verificar motivo colaborador geandra marinho moriz não aparecer ponto informo aprendiz efetivar possuir drt inativo ativa colaborador não aparecer ponto;Erro;amando gostar apoio motivo colaborador aparecer ponto informo aprendiz efetivar possuir drt inativo ativa colaborador aparecer ponto
colaborador Renato jesus admitir não aparecer sistema ponto benner admissão criar novo cargo nomenclatura vaga gostar apoio ponto colaborador não aparecer ponto;Erro;colaborador admitir aparecer ponto benner admissão criar novo cargo nomenclatura vaga gostar apoio ponto colaborador aparecer ponto
bom dia não conseguir gerar relatório ponto arcon através relatório rh relatório ponto demais empresa funcionar normalmente relatório rh arcon problema;Erro;conseguir gerar relatório ponto arcon relatório relatório ponto demais empresa funcionar normalmente relatório arcon
bom dia peço gentileza apoio atualização benner conforme imagem abaixo pedir atualização atualização benner;Corretiva;peço apoio atualização benner conforme imagem abaixo pedir atualização atualização benner
bom dia gostar apoio atualização sistema ponto benner atualização benner;Melhorias;gostar apoio atualização ponto benner atualização benner
bom dia gentileza poder dar apoio atualização benner atualização benner;Nova instalação;poder dar apoio atualização benner atualização benner
gentileza gostar apoio inclusão cargo analista impex sr benner arcon fizemos admissão data hoje porém mesmo não aparecer ponto devido termos criar cargo unidade citar colaborador não aparecer ponto;Corretiva;gostar apoio inclusão cargo analista impex fizemos admissão data hoje porém aparecer ponto devido termos criar cargo unidade citar colaborador aparecer ponto
bom dia não conseguir gerar relatório ponto arcon através relatório rh relatório ponto demais empresa funcionar normalmente relatório rh arcon problema;Erro;conseguir gerar relatório ponto arcon relatório relatório ponto demais empresa funcionar normalmente relatório arcon
bom tarde amando conforme conversar ver zoom problema encontrar drt arcon dar após admissão estagiária cujo drt dever contratar drt correção fazer sami não atualizar benner fazer colaborador alexsandro drt oficialmente sumisse ponto outro pessoa não conseguir encontrar novo colaborador Douglas Barbosa almeida conforme identificar caso estarar repassar drt não localizar benner;Corretiva;amando conforme conversar ver zoom encontrar arcon dar após admissão estagiária cujo dever contratar correção fazer atualizar benner fazer colaborador oficialmente sumisse ponto outro pessoa conseguir encontrar novo colaborador conforme identificar caso estarar repassar localizar benner
colaborador abaixo não aparecer ponto cleison Souza santo clemerson pimentel rodrigue luca vinicius mendonca luca Medeiros tavar colaborador não aparecer ponto;Erro;colaborador abaixo aparecer ponto cleison tavar colaborador aparecer ponto
amando bom tarde gentileza poder dar ajuda colaborador possuir matrícula após atualização benner registro sumir registro ponto colaboradore drts duplicar;Corretiva;amando poder dar ajuda colaborador possuir matrícula após atualização benner registro sumir registro ponto colaboradore drts duplicar
bom dia solicitar apoio atualização ip relógio arcon relógio rh tv atualização ip relógio;Corretiva;solicitar apoio atualização relógio arcon relógio atualização relógio
erro importar relatório rh erro gerar relatório;Erro;erro importar relatório erro gerar relatório
bom dia gostar ajuda sami pois não conseguir gerar relatório sempre fazer login aparecer erro conectar sistema hoje dificuldade gerar contracheque sami;Erro;gostar ajuda pois conseguir gerar relatório sempre fazer login aparecer erro conectar hoje dificuldade gerar contracheque
não conseguir entrar benner nem sami não conseguir cadastrar biometria através leitor biométrico erro benner sami leitor biometria;Erro;conseguir entrar benner conseguir cadastrar biometria leitor biométrico erro benner leitor biometria
bom dia sami não gerar relatório um semana tá impossibilitar rh executar algum atividade erro iniciar desde sami passar atualização relatório começar sair sem cabeçalho logo após troca computador sami parar gerar relatório sami;Erro;gerar relatório semana impossibilitar executar algum atividade erro iniciar desde passar atualização relatório começar sair cabeçalho logo após troca computador parar gerar relatório
não consigo ativar vídeo ligo vídeo chamar alguém tela ficar preto câmera vídeo;Erro;consigo ativar vídeo ligo vídeo chamar alguém tela ficar preto câmera vídeo
amando bom dia gentileza poder dar ajuda colaborador Leonardo rodrigues Gomes possuir matrícula após atualização benner registro sumir drt antigo estagiário tv drt atual arcon registro ponto Leonardo;Erro;amando poder dar ajuda colaborador possuir matrícula após atualização benner registro sumir drt antigo estagiário drt atual arcon registro ponto
amando bom dia gentileza solicitar acesso opção desconto sinalizar amarelo consiga consultar compra produto colaborador liberação acesso sistema re h;Melhorias;amando solicitar opção desconto sinalizar amarelo consiga consultar compra produto colaborador liberação
gostar ajuda ativação dois colaborador ponto maria cristino nunes nascimento worleson moral freito Maria contratar novo cargo sami data hoje tec seg trabalho jr worlesson promover data hoje cargo analista sso colaborador não aparecer ponto;Corretiva;gostar ajuda ativação dois colaborador ponto nascimento moral freito contratar novo cargo sami data hoje tec seg trabalho promover data hoje cargo analista sso colaborador aparecer ponto
bom dia gostar ajuda md acesso desde ínicio manhã hoje não consigar entrar site importar batida benenr md acesso;Erro;gostar ajuda desde ínicio manhã hoje consigar entrar site importar batida benenr
bom dia solicitar apoio relógio ficar produção pois desde dia registro não subir fechamento incluir marcação manualmente desde então batida aparecer benner vez importar aparecer entrada saída vez nenhum dois registro ponto relógio;Corretiva;solicitar apoio relógio ficar produção pois desde registro subir fechamento incluir marcação manualmente desde então batida aparecer benner vez importar aparecer entrada saída vez nenhum dois registro ponto relógio
bom dia gostar ajuda benner pois dificuldade importar arquivo marcação benner não importar;Erro;gostar ajuda benner pois dificuldade importar arquivo marcação benner importar
bom dia solicitar instalação sistema relatório rh máquina thyciane Loureiro Moreira instalar relatório rh;Nova instalação;solicitar instalação relatório máquina thyciane loureiro moreira instalar relatório
colaborador matheu brito transferir arcon tv matrícula novo não ta aparecer fazer tentativa transferência não conseguir fazer nada ponto tentar mexer aqui tar dar erro ponto rapaz sumir matheu brito ponto benner;Erro;colaborador transferir matrícula novo aparecer fazer tentativa transferência conseguir fazer nada ponto tentar mexer aqui tar dar erro ponto rapaz sumir ponto benner
bom dia gostar ajuda teams pois desde anteontem fiz atualização senha chegar notificação solicitar atualização não funcionar não conseguir acessar outlook nem teams outlook teams não funcionar;Erro;gostar ajuda teams pois desde anteontem fiz atualização senha chegar notificação solicitar atualização funcionar conseguir acessar outlook teams outlook teams funcionar
bom dia gentileza solicitar ajuda relógio tv arcon comunicação oscilar fazer não consigar ver batida nem benner relógio sem comunicação;Corretiva;solicitar ajuda relógio arcon comunicação oscilar fazer consigar ver batida benner relógio comunicação
bom dia gentileza solicitar atualização benner atualização benner;Melhorias;solicitar atualização benner atualização benner
bom dia solicitar recuperação arquivo csv nomear admissão excluir equivocadamente caminho pasta ahgor recuperação arquivo excluir;Corretiva;solicitar recuperação arquivo csv nomear admissão excluir equivocadamente caminho pasta ahgor recuperação arquivo excluir
bom dia solicitar apoio sistema interfaceaghoravisual fazer integração sami x ahgora roder rotina todo dia forma automático partir determinado horário poder partir atualmente precisar fazer processo rotina manual registrar sami acessar interfaceaghoravisual seleciona tipo informação querer enviar funcionário afastamento seleciona empresa processar gostaríamo propor passar funcionar seguinte forma registrar sami interfaceaghoravisual enviar informação automático ahgora interfaceaghoravisual rodar rotina automático;Melhorias;solicitar apoio interfaceaghoravisual fazer integração sami ahgora roder rotina todo forma automático partir determinado horário poder partir atualmente precisar fazer processo rotina manual registrar sami acessar interfaceaghoravisual seleciona tipo informação querer enviar funcionário afastamento seleciona empresa processar gostaríamo propor passar funcionar seguinte forma registrar sami interfaceaghoravisual enviar informação automático ahgora interfaceaghoravisual rodar rotina automático
bom dia solicitar acesso pasta salvar arquivo folha pagamento acesso pasta caminho;Avaliação_Técnica;solicitar pasta salvar arquivo folha pagamento pasta caminho
bom dia gentileza solicitar criação novo usuário sap nome receberar novo atribuição necessitar acesso sistema novo usuário sap;Nova instalação;solicitar criação novo nome receberar novo atribuição necessitar novo
instalação expo maquina beatriz rh instalação expo maquina;Nova instalação;instalação expo maquina beatriz instalação expo maquina
bom dia gentileza solicitar apoio verificação erro impossibilitar acesso sistema legar sistema consulta compra produto rh precisar efetuar cálculo rescisão fechamento Folha sistema legar rh compra produto;Erro;solicitar apoio verificação erro impossibilitar legar consulta compra produto precisar efetuar cálculo rescisão fechamento folha legar compra produto
bom dia solicitar;Erro;solicitar
assunto função relatório produção listar amarração resumo função relatório produção listar amarração retirar sisap impactar negativamente área qualidade pois funcionalidade permitir rastrear produto número série horário amarração ferramento essencial ação contenção bloqueio caso não conformidader além permitir troca emergencial pos sugerir função reativar limitação consulta dia consecutivo consulta extensa fazer via chamar ti solicitação acesso função fazer usuário eduardo Carneiro Barbara mello pereira confirmar liberação tela pedir felipe nascimento verificar acesso acesso função relatório produção listar amarração;Adequação de layout;assunto função relatório produção listar amarração resumo função relatório produção listar amarração retirar impactar negativamente área qualidade pois funcionalidade permitir rastrear produto número série horário amarração ferramento essencial ação contenção bloqueio caso além permitir troca emergencial pos sugerir função reativar limitação consulta consecutivo consulta extensa fazer via chamar função fazer confirmar liberação tela pedir nascimento função relatório produção listar amarração
dia sisap não apontar automaticamente final lote ne cond dois Evap caso apontamento ac ne não conseguir apontar via botão processar consulta lote consideramos fato erro sistema exemplo Unid cond of tcl unid Evap of tcl unid Evap of tcl ac splitr tcl ac splitr tcl problema recorrente em esse caso pedir pcp desamarrar op poder efetuar apontamento além de isso sistema retrabalho gerar problema produção pcp faturamento seguir arquivo anexo evidência solicitar ti proceda alteração forma apontamento op não ne produto retenção apontamento ac apontamento atual ne não op;Erro;apontar automaticamente final lote cond dois evap caso apontamento conseguir apontar via botão processar consulta lote consideramos fato erro exemplo unid cond tcl unid evap tcl unid evap splitr splitr tcl recorrente caso pedir desamarrar poder efetuar apontamento além retrabalho gerar produção faturamento seguir arquivo anexo evidência solicitar proceda alteração forma apontamento produto retenção apontamento apontamento atual
posto leitura amarração compressor linha cond possível realizar leitura consequente amarração compressor não correspondente lista técnico modelo linha processo revisto fim implementar trar dificultar montagem componente essencial incorreto detecção falha somente fase teste considerar sistema amarrar qualquer etiqueta compressor compressor herm skd ne modelo unid cond of Komeco lugar compressor hermetico ne modelo unid cond of tcl amarração indevir compressor condensadora;Erro;leitura amarração compressor cond possível realizar leitura consequente amarração compressor correspondente lista técnico modelo processo revisto fim implementar trar dificultar montagem componente essencial incorreto detecção falha somente fase teste considerar amarrar qualquer etiqueta compressor compressor herm skd modelo unid cond komeco lugar compressor hermetico modelo unid cond tcl amarração indevir compressor condensadora
tratamento dado ap linha compressor tratamento dado ap linha compressor;Corretiva;tratamento compressor tratamento compressor
erro realizar apontamento ac sistema não fazer apontamento ac ac splitr tcl problema ocorrer outro modelo todo modelo produzir apresentar erro apontamento mensagem produto sem pallet cadastrar ausencia apontamento ac;Erro;erro realizar apontamento fazer apontamento splitr tcl ocorrer outro modelo todo modelo produzir apresentar erro apontamento mensagem produto pallet cadastrar ausencia apontamento
produto evaporadora produzir liberar somente pessoa único pessoa produção conseguir habilitar crachá sisap fazer operação todo posto rastreável bloquear acesso geral habilitar acesso individual posto fim evitar liberação produto único pessoa apenas habilitação individual acesso sisap crachá cada posto trabalho;Melhorias;produto evaporadora produzir liberar somente pessoa único pessoa produção conseguir habilitar crachá fazer operação todo rastreável bloquear geral habilitar individual fim evitar liberação produto único pessoa apenas habilitação individual crachá cada trabalho
fazer teste apontamento copper tube engenharia sem ordem produção ocasionar lixo ambiente limpeza zpp copper tube testar;Corretiva;fazer teste apontamento copper tube engenharia ordem produção ocasionar lixo ambiente limpeza testar
solicitar relatorio gerencial produção diario x programa contemplar produção modelo possuir somente idu odu fazer epoca trane conforme relatório anexo adequação relatório produção gerencial;Adequação de layout;solicitar gerencial produção diario programa contemplar produção modelo possuir somente idu odu fazer epoca trane conforme relatório anexo adequação relatório produção gerencial
não conseguir acessar sistema nota fiscal sistema nota fiscal;Erro;conseguir acessar nota fiscal nota fiscal
erro gravação;Erro;erro gravação
instalação easy easy;Nova instalação;instalação easy easy
instalação easy easy;Nova instalação;instalação easy easy
solicitar ative opção cadastro usuário danielyco sistema nota fista;Melhorias;solicitar ative opção cadastro danielyco nota fista
atualização;Erro;atualização
instalação easy maquina anderson easy;Corretiva;instalação easy maquina anderson easy
não abrir sistema sap sistema sap;Erro;abrir
sem acesso sistema nota fiscal abrir ocorrer erro sem acesso sistema nota fiscal;Erro;nota fiscal abrir ocorrer erro nota fiscal
sistema nota fiscal não funcionando pc nota fiscal não funcionar;Erro;nota fiscal funcionando nota fiscal funcionar
configurar sistema dia uso novo computador configuração sismtema dia novo computador;Melhorias;configurar uso novo computador configuração sismtema novo computador
favor verificar problema leitura xml seidor ambiente prd leitura xml seidor;Erro;leitura xml seidor ambiente prd leitura xml seidor
excluir arquivo obrigação dia sistema nota fiscal mês empresa importar arquivo não carregar todo informação acontecer precisar excluir arquivo sistema importar novamente exluir arquivo dia;Corretiva;excluir arquivo obrigação nota fiscal mês empresa importar arquivo carregar todo informação acontecer precisar excluir arquivo importar novamente exluir arquivo
acesso remoto sistema legar nota fiscal acesso sistema legar nota fiscal;Avaliação_Técnica;remoto legar nota fiscal legar nota fiscal
sem acesso sistema legar nota fiscal acesso sistema legar nota fiscal;Erro;legar nota fiscal legar nota fiscal
sem acesso sistema legar nota fiscal acesso sistema legar nota fiscal;Erro;legar nota fiscal legar nota fiscal
miro p calcular imposto valor total nf diferença miro diferença valor imposto;Avaliação_Técnica;calcular imposto valor total diferença miro diferença valor imposto
sem acesso sistema legar nota fiscal acesso sistema legar nota fiscal;Erro;legar nota fiscal legar nota fiscal
sem acesso sistema nota fiscal acesso sistema legar nota fiscal;Erro;nota fiscal legar nota fiscal
relacionar am gmt eduardo maregar solicitação;Avaliação_Técnica;relacionar
bom dia preciso baixar foto ação saúde wattzap web não Consigo poder ajudar aguardo liberação par abaixar foto wattzap;Avaliação_Técnica;preciso baixar foto ação saúde wattzap web poder ajudar aguardo liberação par abaixar foto wattzap
bom tarde gentileza solicitar acesso sami realizar cadastro cargo sami ppp computador sesmt nome agradeço acesso cadastro programa sami ppp;Erro;solicitar sami realizar cadastro cargo sesmt nome agradeço cadastro programa sami ppp
período estarei férias portanto gostar solicitar Sara aparicio lê cópia poder aprovar requisição grupo smt manau sistema sap poder auxiliar demanda usuário andreza liberação requisição;Melhorias;período estarei férias portanto gostar solicitar aparicio cópia poder aprovar requisição grupo smt manau poder auxiliar demanda andreza liberação requisição
conforme falar solicitar alteração fluxo aprovação pedido compra contrato manau grupo comprador smt rhm onde ler gerente gentileza alterar diretor Manuel Moreira fluxo aprovação Manaus rhm smt;Melhorias;conforme falar solicitar alteração fluxo aprovação pedido compra contrato manau grupo comprador smt rhm onde ler gerente alterar diretor fluxo aprovação manaus rhm smt
travar entrada conhecimento transporte grc encerramento conhecimento grc;Avaliação_Técnica;travar entrada conhecimento transporte grc encerramento conhecimento grc
encerramento entrada conhecimento grc encerramento conhecimento grc;Erro;encerramento entrada conhecimento grc encerramento conhecimento grc
